lag,mean_abs_attr
0,0.00014661602
1,0.00013950389
2,0.000117763004
3,0.00013640575
4,0.00017288877
5,0.0001653694
6,0.00014842722
7,0.000119475684
8,0.000103994025
9,0.00011772895
10,0.00013549319
11,0.0001399718
12,0.00013302873
13,0.000120915494
14,0.00011563678
15,0.00012902249
16,0.00014516462
17,0.00016060949
18,0.00017348872
19,0.00018031863
20,0.00019107717
21,0.00018710778
22,0.00020582066
23,0.00021683685
24,0.00021606966
25,0.00020760344
26,0.00019586968
27,0.00020535581
28,0.00022096834
29,0.00024114265
30,0.00025768866
31,0.00026724237
32,0.0002738801
33,0.00027511318
34,0.000253197
35,0.00026375844
36,0.00025977194
37,0.0002349605
38,0.00022582214
39,0.00023487867
40,0.00024976378
41,0.00025794358
42,0.00028101093
43,0.0003090071
44,0.00033627963
45,0.00035265615
46,0.00038591272
47,0.00043093233
48,0.0004637876
49,0.00046517965
50,0.00044200057
51,0.00042529585
52,0.00044199018
53,0.00054154795
54,0.00062551384
55,0.00065536925
56,0.00064300717
57,0.0006077868
58,0.0005682273
59,0.00064282765
60,0.0006974162
61,0.0007294729
62,0.000726691
63,0.00067969057
64,0.0006668992
65,0.00067525083
66,0.0006617041
67,0.00061252405
68,0.0006069372
69,0.0006686154
70,0.0008196418
71,0.00094906165
72,0.0010238219
73,0.0009964237
74,0.00087687065
75,0.00081818353
76,0.000932532
77,0.0010688201
78,0.0011296442
79,0.0011807091
80,0.0012115535
81,0.0011518219
82,0.0011672417
83,0.0011335828
84,0.001065623
85,0.0012523176
86,0.0012264308
87,0.0010348107
88,0.0008935948
89,0.0007647333
90,0.00075226
91,0.000983125
92,0.0012486653
93,0.0019900207
94,0.0033519242
95,0.0128018735
